isbn,title,authors,publishers,publish_date,number_of_pages,identifiers_goodreads,description,first_sentence,last_modified
9780060556525,Gold,"[""Isaac Asimov""]","[""Eos""]",2003,399.0,"[""41832""]",,,
9780060744700,Gold,"[""Isaac Asimov""]","[""HarperCollins Publishers""]",2004,,,,,
9780006545729,Searoad Chronicles of Klatsand,"[""Ursula K. Le Guin""]","[""Flamingo""]",June 1995,208.0,"[""92612""]",,,
9780006547891,The Dispossessed,"[""Ursula K. Le Guin""]","[""HarperCollins Publishers""]","July 2, 1994",,"[""3423131""]",,,
9780007305087,Legends : Eleven New Works by the Masters of Modern Fantasy,"[""Robert Silverberg"", ""Orson Scott Card"", ""Stephen King"", ""Robert Jordan"", ""Robert A. Silverberg""]",,,,,,,
9780007385034,Legends,"[""Robert Silverberg"", ""Orson Scott Card"", ""Stephen King"", ""Robert Jordan"", ""Robert A. Silverberg""]","[""HarperCollins Publishers Limited""]",2010,,,,,
9780020478003,,,,,,,,,
9780057502320,The  word for world is forest,"[""Ursula K. Le Guin""]","[""Gollancz"", ""Orion Publishing Group, Limited""]",1977,128.0,,,,
9780060085346,The Birthday of the World,"[""Ursula K. Le Guin""]","[""Perfectbound""]","Jan 05, 2002",,,,,
9780060085353,The Birthday of the World,"[""Ursula K. Le Guin""]","[""Perfectbound""]","Jan 05, 2002",,,,,
9780060085360,The Birthday of the World,"[""Ursula K. Le Guin""]","[""HarperCollins""]",2002,,,,,
9780060125592,Planet of exile,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1978,140.0,"[""1668688""]",,,
9780060125615,Orsinian Tales,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1976,179.0,"[""937411""]",,,
9780060125622,The  wind's twelve quarters,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1975,303.0,"[""92614""]",,,
9780060125639,The Dispossessed,"[""Ursula K. Le Guin""]","[""Gollancz""]",1999,341.0,"[""361523""]",,,
9780060125684,Rocannon's world,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1977,136.0,"[""1367540""]",,,
9780060125691,City of illusions,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1978,199.0,"[""1213519""]",,,
9780060125738,The  beginning place,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1980,183.0,"[""769773""]",,,
9780060125745,,,,,,,,,
9780060149888,,,,,,,,,
9780060150860,,,,,,,,,
9780060154561,Always coming home,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1985,523.0,"[""429939""]",,,
9780060155452,Always Coming Home,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1985,523.0,"[""1065728"", ""1342246""]",,,
9780060155629,Always Coming Home,"[""Ursula K. Le Guin""]","[""Harpercollins"", ""HarperCollins""]","Oct 01, 1985",576.0,,,,
9780060155643,,,,,,,,,
9780060167400,Searoad,"[""Ursula K. Le Guin""]","[""HarperCollins""]",1991,193.0,"[""429949""]",,,
9780060168353,The  language of the night,"[""Ursula K. Le Guin""]","[""HarperCollins Publishers""]",1992,250.0,"[""429983""]",,,
9780060172602,Unlocking the air and other stories,"[""Ursula K. Le Guin""]","[""HarperCollins""]",1996,207.0,"[""429936""]",,,
9780060503970,Dispossessed,"[""Ursula K. Le Guin""]","[""HarperCollins Publishers""]",2002,,,,,
9780060503987,Dispossessed,"[""Ursula K. Le Guin""]","[""HarperCollins Publishers""]",2002,,,,,
9780060503994,Dispossessed,"[""Ursula K. Le Guin""]","[""HarperCollins Publishers""]",2002,,,,,
9780060504007,,,,,,,,,
9780060504014,,,,,,,,,
9780060509064,The Birthday of the World,"[""Ursula K. Le Guin""]","[""Harper Perennial""]","March 4, 2003",384.0,"[""68021""]",,,
